Meta Data,Time Series (Daily)
"Daily Prices (open, high, low, close) and Volumes",
MSFT,
,"{'1. open': '101.6452', '2. high': '102.2500', '3. low': '101.2510', '4. close': '101.8500', '5. volume': '18211980'}"
,"{'1. open': '102.0000', '2. high': '102.5100', '3. low': '101.8600', '4. close': '102.1200', '5. volume': '19293140'}"
,"{'1. open': '101.1500', '2. high': '102.3400', '3. low': '101.1000', '4. close': '101.9800', '5. volume': '19644648'}"
,"{'1. open': '102.7700', '2. high': '104.4100', '3. low': '102.7300', '4. close': '104.1900', '5. volume': '24335929'}"
,"{'1. open': '104.3700', '2. high': '105.6000', '3. low': '104.0900', '4. close': '105.4300', '5. volume': '24653500'}"
,"{'1. open': '105.4000', '2. high': '105.8200', '3. low': '104.5150', '4. close': '104.9100', '5. volume': '21786912'}"
,"{'1. open': '104.6100', '2. high': '106.5000', '3. low': '104.3200', '4. close': '105.9500', '5. volume': '25901726'}"
,"{'1. open': '105.9400', '2. high': '106.0500', '3. low': '104.7150', '4. close': '105.1200', '5. volume': '29493927'}"
,"{'1. open': '104.9300', '2. high': '105.3100', '3. low': '103.8900', '4. close': '104.4000', '5. volume': '40171646'}"
,"{'1. open': '108.0800', '2. high': '108.2000', '3. low': '106.0800', '4. close': '106.2700', '5. volume': '56038827'}"
,"{'1. open': '106.3000', '2. high': '108.1400', '3. low': '106.1300', '4. close': '107.9700', '5. volume': '29706955'}"
,"{'1. open': '108.5700', '2. high': '108.8200', '3. low': '107.2600', '4. close': '107.6600', '5. volume': '26316619'}"
,"{'1. open': '107.9550', '2. high': '111.1500', '3. low': '107.6000', '4. close': '110.8300', '5. volume': '30798058'}"
,"{'1. open': '110.7400', '2. high': '111.0000', '3. low': '109.5000', '4. close': '109.6200', '5. volume': '31372110'}"
,"{'1. open': '110.1800', '2. high': '110.1800', '3. low': '106.1400', '4. close': '107.6800', '5. volume': '37005292'}"
,"{'1. open': '107.1900', '2. high': '107.5300', '3. low': '104.7600', '4. close': '105.3700', '5. volume': '34668327'}"
,"{'1. open': '106.4900', '2. high': '106.7200', '3. low': '105.3800', '4. close': '106.0800', '5. volume': '27655152'}"
,"{'1. open': '106.0300', '2. high': '106.4460', '3. low': '105.4200', '4. close': '106.2800', '5. volume': '23628699'}"
,"{'1. open': '105.4000', '2. high': '108.0900', '3. low': '104.8400', '4. close': '107.5700', '5. volume': '26104258'}"
,"{'1. open': '107.8000', '2. high': '108.0500', '3. low': '106.8200', '4. close': '108.0400', '5. volume': '18659599'}"
,"{'1. open': '108.1200', '2. high': '108.4200', '3. low': '107.5590', '4. close': '108.1300', '5. volume': '20265947'}"
,"{'1. open': '108.5600', '2. high': '109.1000', '3. low': '108.1700', '4. close': '108.8800', '5. volume': '16080214'}"
,"{'1. open': '109.3300', '2. high': '109.7500', '3. low': '108.7599', '4. close': '109.4900', '5. volume': '15487502'}"
,"{'1. open': '109.7100', '2. high': '110.1600', '3. low': '109.6000', '4. close': '109.6700', '5. volume': '13677211'}"
,"{'1. open': '109.4200', '2. high': '109.6900', '3. low': '108.3800', '4. close': '109.0000', '5. volume': '18183724'}"
,"{'1. open': '109.2400', '2. high': '109.5800', '3. low': '108.1000', '4. close': '108.2100', '5. volume': '18474884'}"
,"{'1. open': '108.5600', '2. high': '109.7500', '3. low': '108.0400', '4. close': '109.5600', '5. volume': '16788314'}"
,"{'1. open': '108.4900', '2. high': '108.9850', '3. low': '106.8200', '4. close': '107.6600', '5. volume': '29982806'}"
,"{'1. open': '108.3000', '2. high': '108.8600', '3. low': '107.3000', '4. close': '107.6400', '5. volume': '21384289'}"
,"{'1. open': '107.3600', '2. high': '107.9000', '3. low': '106.6900', '4. close': '107.5800', '5. volume': '18061512'}"
,"{'1. open': '107.5100', '2. high': '107.9000', '3. low': '106.4800', '4. close': '106.8700', '5. volume': '17914201'}"
,"{'1. open': '106.9200', '2. high': '107.3500', '3. low': '105.8500', '4. close': '105.9800', '5. volume': '22881861'}"
,"{'1. open': '105.8500', '2. high': '107.3400', '3. low': '105.7800', '4. close': '107.0600', '5. volume': '18000639'}"
,"{'1. open': '107.1500', '2. high': '108.1800', '3. low': '106.8700', '4. close': '107.5600', '5. volume': '18167723'}"
,"{'1. open': '107.6700', '2. high': '108.5600', '3. low': '107.5600', '4. close': '108.4000', '5. volume': '17234020'}"
,"{'1. open': '109.2700', '2. high': '109.6400', '3. low': '108.5100', '4. close': '109.6000', '5. volume': '19662331'}"
,"{'1. open': '109.9400', '2. high': '110.5000', '3. low': '109.7900', '4. close': '110.2600', '5. volume': '19151528'}"
,"{'1. open': '110.4500', '2. high': '112.0300', '3. low': '110.2700', '4. close': '112.0200', '5. volume': '20818044'}"
,"{'1. open': '111.6700', '2. high': '112.6100', '3. low': '111.4400', '4. close': '111.9500', '5. volume': '22798702'}"
,"{'1. open': '111.6850', '2. high': '112.7770', '3. low': '111.5150', '4. close': '112.3300', '5. volume': '23222713'}"
,"{'1. open': '110.8500', '2. high': '111.9550', '3. low': '110.2200', '4. close': '111.7100', '5. volume': '22634641'}"
,"{'1. open': '111.0100', '2. high': '111.4200', '3. low': '108.1000', '4. close': '108.4900', '5. volume': '32872352'}"
,"{'1. open': '108.2500', '2. high': '108.9900', '3. low': '107.5100', '4. close': '108.7400', '5. volume': '23477624'}"
,"{'1. open': '108.2300', '2. high': '108.7248', '3. low': '107.2300', '4. close': '108.2100', '5. volume': '22498646'}"
,"{'1. open': '108.8400', '2. high': '109.6400', '3. low': '108.3600', '4. close': '109.3800', '5. volume': '20727906'}"
,"{'1. open': '108.9000', '2. high': '111.5900', '3. low': '108.8900', '4. close': '111.2400', '5. volume': '24301774'}"
,"{'1. open': '111.4300', '2. high': '111.8500', '3. low': '110.5100', '4. close': '111.7100', '5. volume': '18891064'}"
,"{'1. open': '112.1200', '2. high': '113.7250', '3. low': '112.1200', '4. close': '112.9100', '5. volume': '26055620'}"
,"{'1. open': '113.3600', '2. high': '113.7300', '3. low': '112.4400', '4. close': '113.3700', '5. volume': '18217018'}"
2018-09-14,
Compact,
US/Eastern,
"Daily Prices (open, high, low, close) and Volumes",
MSFT,
,"{'1. open': '93.3000', '2. high': '93.3000', '3. low': '90.2800', '4. close': '92.3100', '5. volume': '33729257'}"
,"{'1. open': '93.5500', '2. high': '95.1500', '3. low': '93.1000', '4. close': '94.2600', '5. volume': '42529043'}"
,"{'1. open': '97.6000', '2. high': '97.9000', '3. low': '93.9100', '4. close': '95.8200', '5. volume': '48272780'}"
,"{'1. open': '96.3300', '2. high': '96.3964', '3. low': '93.1500', '4. close': '93.5200', '5. volume': '41523605'}"
,"{'1. open': '93.2100', '2. high': '95.2900', '3. low': '92.7900', '4. close': '95.0000', '5. volume': '31408927'}"
,"{'1. open': '94.9900', '2. high': '95.1700', '3. low': '93.1900', '4. close': '93.5100', '5. volume': '27471002'}"
,"{'1. open': '92.9600', '2. high': '94.9250', '3. low': '92.4500', '4. close': '94.0700', '5. volume': '31142497'}"
,"{'1. open': '93.3200', '2. high': '95.3700', '3. low': '92.9200', '4. close': '95.1600', '5. volume': '22531325'}"
,"{'1. open': '95.1700', '2. high': '96.7100', '3. low': '95.1000', '4. close': '96.2200', '5. volume': '24242019'}"
,"{'1. open': '95.8456', '2. high': '96.1600', '3. low': '95.0631', '4. close': '95.8100', '5. volume': '23484589'}"
,"{'1. open': '96.0100', '2. high': '96.9700', '3. low': '95.0500', '4. close': '96.9400', '5. volume': '27327410'}"
,"{'1. open': '97.4600', '2. high': '97.9500', '3. low': '97.0500', '4. close': '97.9100', '5. volume': '22388119'}"
,"{'1. open': '97.8000', '2. high': '97.8700', '3. low': '97.0400', '4. close': '97.7000', '5. volume': '16778316'}"
,"{'1. open': '97.9200', '2. high': '98.6900', '3. low': '97.3100', '4. close': '98.0300', '5. volume': '19454124'}"
,"{'1. open': '97.2400', '2. high': '97.8500', '3. low': '96.3400', '4. close': '97.3200', '5. volume': '24594010'}"
,"{'1. open': '97.3600', '2. high': '97.4000', '3. low': '96.6150', '4. close': '97.1500', '5. volume': '17384742'}"
,"{'1. open': '96.7600', '2. high': '97.5401', '3. low': '95.8300', '4. close': '96.1800', '5. volume': '17246716'}"
,"{'1. open': '96.0100', '2. high': '96.9300', '3. low': '96.0100', '4. close': '96.3600', '5. volume': '17865840'}"
,"{'1. open': '97.0000', '2. high': '98.0100', '3. low': '96.8000', '4. close': '97.6000', '5. volume': '19422467'}"
,"{'1. open': '97.6800', '2. high': '98.1700', '3. low': '97.2000', '4. close': '97.5000', '5. volume': '15441189'}"
,"{'1. open': '96.7100', '2. high': '98.7300', '3. low': '96.3200', '4. close': '98.6600', '5. volume': '21251222'}"
,"{'1. open': '98.7250', '2. high': '98.9400', '3. low': '96.8100', '4. close': '98.3100', '5. volume': '26649287'}"
